scientific.name
Abelmoschus esculentus
Abrus precatorius
Abutilon abutiloides
Abutilon auritum
Abutilon grandifolium
Digitalis purpurea
Lamium purpureum
Geranium lucidum
Heracleum sphondylium
Youngia thunbergiana
Abutilon theophrasti
Achillea ptarmica
Allium neapolitanum
Allium sativum
Aloe vera
Alopecurus geniculatus
Alyssum desertorum
Amaranthus cruentus
Anagallis monelli
Anethum graveolens
Aponogeton distachyos

